"Accession_ID","Entry.name","Protein.names","Gene.names","Organism","Length"
"A0JM13","C2CD3_XENTR","C2 domain-containing protein 3","c2cd3","Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)",2311
"Q9H0V9","LMA2L_HUMAN","VIP36-like protein (Lectin mannose-binding 2-like) (LMAN2-like protein)","LMAN2L VIPL PSEC0028 UNQ368/PRO704","Homo sapiens (Human)",348
"Q2QLH0","CFTR_OTOGA","Cystic fibrosis transmembrane conductance regulator (CFTR) (ATP-binding cassette sub-family C member 7) (Channel conductance-controlling ATPase) (EC 5.6.1.6) (cAMP-dependent chloride channel)","CFTR ABCC7","Otolemur garnettii (Small-eared galago) (Garnett's greater bushbaby)",1482
"Q3MHH6","PYRD2_BOVIN","Pyridine nucleotide-disulfide oxidoreductase domain-containing protein 2 (EC 1.-.-.-)","PYROXD2","Bos taurus (Bovine)",581
"Q9EQU5","SET_MOUSE","Protein SET (Phosphatase 2A inhibitor I2PP2A) (I-2PP2A) (Template-activating factor I) (TAF-I)","Set","Mus musculus (Mouse)",289
"Q9EPL9","ACOX3_MOUSE","Peroxisomal acyl-coenzyme A oxidase 3 (EC 1.3.3.6) (Branched-chain acyl-CoA oxidase) (BRCACox) (Pristanoyl-CoA oxidase)","Acox3","Mus musculus (Mouse)",700
"Q0BQE8","ATPB_GRABC","ATP synthase subunit beta (EC 7.1.2.2) (ATP synthase F1 sector subunit beta) (F-ATPase subunit beta)","atpD GbCGDNIH1_2056","Granulibacter bethesdensis (strain ATCC BAA-1260 / CGDNIH1)",476
"P18298","METK2_RAT","S-adenosylmethionine synthase isoform type-2 (AdoMet synthase 2) (EC 2.5.1.6) (Methionine adenosyltransferase 2) (MAT 2) (Methionine adenosyltransferase II) (MAT-II)","Mat2a Ams2","Rattus norvegicus (Rat)",395
"Q8HXX9","FRDA_MACFA","Frataxin, mitochondrial (Fxn) (EC 1.16.3.1) [Cleaved into: Frataxin intermediate form; Frataxin mature form]","FXN FRDA1 QnpA-13971","Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)",210
"Q95NM6","NUCG_CAEEL","Endonuclease G, mitochondrial (Endo G) (EC 3.1.30.-) (Ced-3 protease suppressor 6)","cps-6 C41D11.8","Caenorhabditis elegans",308
"P60670","NPL4_MOUSE","Nuclear protein localization protein 4 homolog (Protein NPL4)","Nploc4 Kiaa1499 Npl4","Mus musculus (Mouse)",608
"O35607","BMPR2_MOUSE","Bone morphogenetic protein receptor type-2 (BMP type-2 receptor) (BMPR-2) (EC 2.7.11.30) (BRK-3) (Bone morphogenetic protein receptor type II) (BMP type II receptor) (BMPR-II)","Bmpr2","Mus musculus (Mouse)",1038
"Q5REX5","ABHDA_PONAB","Palmitoyl-protein thioesterase ABHD10, mitochondrial (EC 3.1.2.22) (Acyl-protein thioesterase ABHD10) (Alpha/beta hydrolase domain-containing protein 10) (Abhydrolase domain-containing protein 10) (Mycophenolic acid acyl-glucuronide esterase, mitochondrial) (EC 3.1.1.93)","ABHD10","Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)",306
"P28474","ADHX_MOUSE","Alcohol dehydrogenase class-3 (EC 1.1.1.1) (Alcohol dehydrogenase 2) (Alcohol dehydrogenase 5) (Alcohol dehydrogenase B2) (ADH-B2) (Alcohol dehydrogenase class-III) (Glutathione-dependent formaldehyde dehydrogenase) (FALDH) (FDH) (GSH-FDH) (EC 1.1.1.-) (S-(hydroxymethyl)glutathione dehydrogenase) (EC 1.1.1.284)","Adh5 Adh-2 Adh2","Mus musculus (Mouse)",374
"P58780","ADA2_PIG","Adenosine deaminase 2 (EC 3.5.4.4) (Cat eye syndrome critical region protein 1)","ADA2 CECR1","Sus scrofa (Pig)",510
"O35316","SC6A6_MOUSE","Sodium- and chloride-dependent taurine transporter (Solute carrier family 6 member 6)","Slc6a6 Taut","Mus musculus (Mouse)",621
"Q4R3J0","RTCA_MACFA","RNA 3'-terminal phosphate cyclase (RNA cyclase) (RNA-3'-phosphate cyclase) (EC 6.5.1.4) (RNA terminal phosphate cyclase domain-containing protein 1)","RTCA RTCD1 QtsA-16663","Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)",366
"Q99700","ATX2_HUMAN","Ataxin-2 (Spinocerebellar ataxia type 2 protein) (Trinucleotide repeat-containing gene 13 protein)","ATXN2 ATX2 SCA2 TNRC13","Homo sapiens (Human)",1313
"Q9CQA1","TPPC5_MOUSE","Trafficking protein particle complex subunit 5","Trappc5","Mus musculus (Mouse)",188
"O80480","IMPA4_ARATH","Importin subunit alpha-4 (IMPa-4)","IMPA4 At1g09270 T12M4.2","Arabidopsis thaliana (Mouse-ear cress)",538
"Q0WWQ1","ATG3_ARATH","Autophagy-related protein 3 (Autophagy-related E2-like conjugation enzyme ATG3) (AtAPG3) (Protein autophagy 3)","ATG3 APG3 At5g61500 K11J9.3","Arabidopsis thaliana (Mouse-ear cress)",313
"O00560","SDCB1_HUMAN","Syntenin-1 (Melanoma differentiation-associated protein 9) (MDA-9) (Pro-TGF-alpha cytoplasmic domain-interacting protein 18) (TACIP18) (Scaffold protein Pbp1) (Syndecan-binding protein 1)","SDCBP MDA9 SYCL","Homo sapiens (Human)",298
"Q8VCK5","KLH20_MOUSE","Kelch-like protein 20 (Kelch-like ECT2-interacting protein)","Klhl20 Kiaa4210 Kleip","Mus musculus (Mouse)",604
"Q1GUM2","SYV_SPHAL","Valine--tRNA ligase (EC 6.1.1.9) (Valyl-tRNA synthetase) (ValRS)","valS Sala_0932","Sphingopyxis alaskensis (strain DSM 13593 / LMG 18877 / RB2256) (Sphingomonas alaskensis)",931
"Q9CR78","MSD3_MOUSE","Myb/SANT-like DNA-binding domain-containing protein 3","Msantd3","Mus musculus (Mouse)",275
"Q91V01","MBOA5_MOUSE","Lysophospholipid acyltransferase 5 (LPLAT 5) (EC 2.3.1.-) (1-acylglycerophosphocholine O-acyltransferase) (EC 2.3.1.23) (1-acylglycerophosphoethanolamine O-acyltransferase) (EC 2.3.1.n7) (1-acylglycerophosphoserine O-acyltransferase) (EC 2.3.1.n6) (Lysophosphatidylcholine acyltransferase) (LPCAT) (Lyso-PC acyltransferase) (Lysophosphatidylcholine acyltransferase 3) (Lyso-PC acyltransferase 3) (mLPCAT3) (Lysophosphatidylethanolamine acyltransferase) (LPEAT) (Lyso-PE acyltransferase) (Lysophosphatidylserine acyltransferase) (LPSAT) (Lyso-PS acyltransferase) (Membrane-bound O-acyltransferase domain-containing protein 5) (O-acyltransferase domain-containing protein 5)","Lpcat3 Grcc3f Mboat5 Oact5","Mus musculus (Mouse)",487
"Q5R6D8","DDX46_PONAB","Probable ATP-dependent RNA helicase DDX46 (EC 3.6.4.13) (DEAD box protein 46)","DDX46","Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)",1032
"Q9VIV2","SWM_DROME","Zinc finger protein swm (Protein second mitotic wave missing)","swm CG10084","Drosophila melanogaster (Fruit fly)",1062
"Q9ES67","ARHGB_RAT","Rho guanine nucleotide exchange factor 11 (RhoGEF glutamate transport modulator GTRAP48)","Arhgef11","Rattus norvegicus (Rat)",1527
"P10599","THIO_HUMAN","Thioredoxin (Trx) (ATL-derived factor) (ADF) (Surface-associated sulphydryl protein) (SASP) (allergen Hom s Trx)","TXN TRDX TRX TRX1","Homo sapiens (Human)",105
"Q5RAW5","DYM_PONAB","Dymeclin","DYM","Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)",669
"Q9CXE6","XRCC3_MOUSE","DNA repair protein XRCC3 (X-ray repair cross-complementing protein 3)","Xrcc3","Mus musculus (Mouse)",349
"Q38900","CP19A_ARATH","Peptidyl-prolyl cis-trans isomerase CYP19-1 (PPIase CYP19-1) (EC 5.2.1.8) (Cyclophilin of 19 kDa 1) (Rotamase cyclophilin-3)","CYP19-1 ROC3 At2g16600 T24I21.1","Arabidopsis thaliana (Mouse-ear cress)",173
"Q8K1C7","MOT14_MOUSE","Monocarboxylate transporter 14 (MCT 14) (Solute carrier family 16 member 14)","Slc16a14 Mct14","Mus musculus (Mouse)",512
"Q8TC07","TBC15_HUMAN","TBC1 domain family member 15 (GTPase-activating protein RAB7) (GAP for RAB7) (Rab7-GAP)","TBC1D15","Homo sapiens (Human)",691
"Q96FS4","SIPA1_HUMAN","Signal-induced proliferation-associated protein 1 (Sipa-1) (GTPase-activating protein Spa-1) (p130 SPA-1)","SIPA1 SPA1","Homo sapiens (Human)",1042
"P34334","RL21_CAEEL","60S ribosomal protein L21","rpl-21 C14B9.7","Caenorhabditis elegans",161
"Q9NSD5","S6A13_HUMAN","Sodium- and chloride-dependent GABA transporter 2 (GAT-2) (Solute carrier family 6 member 13)","SLC6A13 GAT2","Homo sapiens (Human)",602
"Q5R5K5","AT2C1_PONAB","Calcium-transporting ATPase type 2C member 1 (ATPase 2C1) (EC 7.2.2.10)","ATP2C1","Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)",918
"Q9DB85","RRP8_MOUSE","Ribosomal RNA-processing protein 8 (EC 2.1.1.-) (Cerebral protein 1 homolog)","Rrp8","Mus musculus (Mouse)",457
"Q38961","SNM1_ARATH","DNA cross-link repair protein SNM1 (AtSNM1)","SNM1 At3g26680 MLJ15.8","Arabidopsis thaliana (Mouse-ear cress)",484
"Q9DCG6","PBLD1_MOUSE","Phenazine biosynthesis-like domain-containing protein 1 (EC 5.1.-.-)","Pbld1 Mawbp2 Pbld","Mus musculus (Mouse)",288
"Q3ZCT1","ZN260_HUMAN","Zinc finger protein 260 (Zfp-260)","ZNF260 ZFP260","Homo sapiens (Human)",412
"Q5RBG1","RAB5B_PONAB","Ras-related protein Rab-5B","RAB5B","Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)",215
"Q9VMM6","OBSTE_DROME","Protein obstructor-E","obst-E CG11142","Drosophila melanogaster (Fruit fly)",249
"Q6NZW8","AR8BA_DANRE","ADP-ribosylation factor-like protein 8B-A","arl8ba arl8b zgc:77187","Danio rerio (Zebrafish) (Brachydanio rerio)",186
"Q0NXR6","ACAD8_BOVIN","Isobutyryl-CoA dehydrogenase, mitochondrial (EC 1.3.8.-) (Acyl-CoA dehydrogenase family member 8) (ACAD-8)","ACAD8","Bos taurus (Bovine)",416
"P51812","KS6A3_HUMAN","Ribosomal protein S6 kinase alpha-3 (S6K-alpha-3) (EC 2.7.11.1) (90 kDa ribosomal protein S6 kinase 3) (p90-RSK 3) (p90RSK3) (Insulin-stimulated protein kinase 1) (ISPK-1) (MAP kinase-activated protein kinase 1b) (MAPK-activated protein kinase 1b) (MAPKAP kinase 1b) (MAPKAPK-1b) (Ribosomal S6 kinase 2) (RSK-2) (pp90RSK2)","RPS6KA3 ISPK1 MAPKAPK1B RSK2","Homo sapiens (Human)",740
"P01130","LDLR_HUMAN","Low-density lipoprotein receptor (LDL receptor)","LDLR","Homo sapiens (Human)",860
"B2RQC6","PYR1_MOUSE","CAD protein [Includes: Glutamine-dependent carbamoyl-phosphate synthase (EC 6.3.5.5); Aspartate carbamoyltransferase (EC 2.1.3.2); Dihydroorotase (EC 3.5.2.3)]","Cad","Mus musculus (Mouse)",2225
"Q5FWF4","ZRAB3_HUMAN","DNA annealing helicase and endonuclease ZRANB3 (Annealing helicase 2) (AH2) (Zinc finger Ran-binding domain-containing protein 3) [Includes: DNA annealing helicase ZRANB3 (EC 3.6.4.-); Endonuclease ZRANB3 (EC 3.1.-.-)]","ZRANB3","Homo sapiens (Human)",1079
"A5V2U6","LIPA_SPHWW","Lipoyl synthase (EC 2.8.1.8) (Lip-syn) (LS) (Lipoate synthase) (Lipoic acid synthase) (Sulfur insertion protein LipA)","lipA Swit_0241","Sphingomonas wittichii (strain RW1 / DSM 6014 / JCM 10273)",312
"A8X2R2","ZFPL1_CAEBR","Zinc finger protein-like 1 homolog","CBG06644","Caenorhabditis briggsae",319
"Q9Y285","SYFA_HUMAN","Phenylalanine--tRNA ligase alpha subunit (EC 6.1.1.20) (CML33) (Phenylalanyl-tRNA synthetase alpha subunit) (PheRS)","FARSA FARS FARSL FARSLA","Homo sapiens (Human)",508
"Q9UK13","ZN221_HUMAN","Zinc finger protein 221","ZNF221","Homo sapiens (Human)",617
"P42207","SEPT1_DROME","Septin-1 (DIFF6 protein homolog) (Protein innocent bystander)","Sep1 Diff6 iby CG1403","Drosophila melanogaster (Fruit fly)",361
"Q6DHU1","CLP1L_DANRE","Cleft lip and palate transmembrane protein 1-like protein (CLPTM1-like protein)","clptm1l zgc:92063","Danio rerio (Zebrafish) (Brachydanio rerio)",538
"Q6NT16","S18B1_HUMAN","MFS-type transporter SLC18B1 (Solute carrier family 18 member B1)","SLC18B1 C6orf192","Homo sapiens (Human)",456
"Q6UPE1","ETFD_RAT","Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial (ETF-QO) (ETF-ubiquinone oxidoreductase) (EC 1.5.5.1) (Electron-transferring-flavoprotein dehydrogenase) (ETF dehydrogenase)","Etfdh","Rattus norvegicus (Rat)",616
"P17039","ZNF30_HUMAN","Zinc finger protein 30 (Zinc finger protein KOX28)","ZNF30 KOX28","Homo sapiens (Human)",623
"Q9UKT9","IKZF3_HUMAN","Zinc finger protein Aiolos (Ikaros family zinc finger protein 3)","IKZF3 ZNFN1A3","Homo sapiens (Human)",509
"Q5E9M1","PRAF3_BOVIN","PRA1 family protein 3 (ADP-ribosylation factor-like protein 6-interacting protein 5) (ARL-6-interacting protein 5) (Aip-5)","ARL6IP5 PRAF3","Bos taurus (Bovine)",188
"P52210","ALDOB_SHEEP","Fructose-bisphosphate aldolase B (EC 4.1.2.13) (Liver-type aldolase)","ALDOB","Ovis aries (Sheep)",364
"P80387","AAKB1_PIG","5'-AMP-activated protein kinase subunit beta-1 (AMPK subunit beta-1) (AMPKb) (5'-AMP-activated protein kinase 40 kDa subunit) (Fragment)","PRKAB1","Sus scrofa (Pig)",122
"P0C605","KGP1_MOUSE","cGMP-dependent protein kinase 1 (cGK 1) (cGK1) (EC 2.7.11.12) (cGMP-dependent protein kinase I) (cGKI)","Prkg1 Prkg1b Prkgr1a Prkgr1b","Mus musculus (Mouse)",671
"P41515","TOP2A_CRIGR","DNA topoisomerase 2-alpha (EC 5.6.2.2) (DNA topoisomerase II, alpha isozyme)","TOP2A TOP-2 TOP2","Cricetulus griseus (Chinese hamster) (Cricetulus barabensis griseus)",1526
"Q4UEA0","CYC_THEAN","Cytochrome c","TA12950","Theileria annulata",115
"O94973","AP2A2_HUMAN","AP-2 complex subunit alpha-2 (100 kDa coated vesicle protein C) (Adaptor protein complex AP-2 subunit alpha-2) (Adaptor-related protein complex 2 subunit alpha-2) (Alpha-adaptin C) (Alpha2-adaptin) (Clathrin assembly protein complex 2 alpha-C large chain) (Huntingtin yeast partner J) (Huntingtin-interacting protein 9) (HIP-9) (Huntingtin-interacting protein J) (Plasma membrane adaptor HA2/AP2 adaptin alpha C subunit)","AP2A2 ADTAB CLAPA2 HIP9 HYPJ KIAA0899","Homo sapiens (Human)",939
"P48861","DDC_MANSE","Aromatic-L-amino-acid decarboxylase (AADC) (EC 4.1.1.28) (DOPA decarboxylase) (DDC)","Ddc","Manduca sexta (Tobacco hawkmoth) (Tobacco hornworm)",508
"Q63406","MCF2L_RAT","Guanine nucleotide exchange factor DBS (DBL's big sister) (MCF2-transforming sequence-like protein) (OST oncogene)","Mcf2l Ost","Rattus norvegicus (Rat)",1149
"P52657","T2AG_HUMAN","Transcription initiation factor IIA subunit 2 (General transcription factor IIA subunit 2) (TFIIA p12 subunit) (TFIIA-12) (TFIIAS) (Transcription initiation factor IIA gamma chain) (TFIIA-gamma)","GTF2A2 TF2A2","Homo sapiens (Human)",109
"Q54VU7","MAP12_DICDI","Methionine aminopeptidase 1D, mitochondrial (MAP 1D) (MetAP 1D) (EC 3.4.11.18) (Methionyl aminopeptidase type 1D, mitochondrial) (Peptidase M 1D)","metap1d map1d DDB_G0280127","Dictyostelium discoideum (Slime mold)",404
"B2UGW0","MNMG_RALPJ","tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG (Glucose-inhibited division protein A)","mnmG gidA Rpic_3523","Ralstonia pickettii (strain 12J)",649
"Q32NQ8","RNF10_XENLA","RING finger protein 10","rnf10","Xenopus laevis (African clawed frog)",756
"Q7T2Z5","UNC5C_CHICK","Netrin receptor UNC5C (Protein unc-5 homolog 3) (cUNC-5H3) (Protein unc-5 homolog C)","UNC5C","Gallus gallus (Chicken)",931
"Q15052","ARHG6_HUMAN","Rho guanine nucleotide exchange factor 6 (Alpha-Pix) (COOL-2) (PAK-interacting exchange factor alpha) (Rac/Cdc42 guanine nucleotide exchange factor 6)","ARHGEF6 COOL2 KIAA0006 PIXA","Homo sapiens (Human)",776
"Q9CXU0","MED10_MOUSE","Mediator of RNA polymerase II transcription subunit 10 (Mediator complex subunit 10)","Med10 D13Wsu50e","Mus musculus (Mouse)",135
"O43707","ACTN4_HUMAN","Alpha-actinin-4 (Non-muscle alpha-actinin 4)","ACTN4","Homo sapiens (Human)",911
"C0ZIY1","PSUG_BREBN","Pseudouridine-5'-phosphate glycosidase (PsiMP glycosidase) (EC 4.2.1.70)","psuG BBR47_03720","Brevibacillus brevis (strain 47 / JCM 6285 / NBRC 100599)",308
"P52034","PFKA_DROME","ATP-dependent 6-phosphofructokinase (ATP-PFK) (Phosphofructokinase) (EC 2.7.1.11) (Phosphohexokinase)","Pfk CG4001","Drosophila melanogaster (Fruit fly)",788
"Q13162","PRDX4_HUMAN","Peroxiredoxin-4 (EC 1.11.1.24) (Antioxidant enzyme AOE372) (AOE37-2) (Peroxiredoxin IV) (Prx-IV) (Thioredoxin peroxidase AO372) (Thioredoxin-dependent peroxide reductase A0372) (Thioredoxin-dependent peroxiredoxin 4)","PRDX4","Homo sapiens (Human)",271
"Q9UQ80","PA2G4_HUMAN","Proliferation-associated protein 2G4 (Cell cycle protein p38-2G4 homolog) (hG4-1) (ErbB3-binding protein 1)","PA2G4 EBP1","Homo sapiens (Human)",394
"E2AX35","PROH4_CAMFO","IDLSRF-like peptide","EAG_01737","Camponotus floridanus (Florida carpenter ant)",201
"Q9NVR2","INT10_HUMAN","Integrator complex subunit 10 (Int10)","INTS10 C8orf35","Homo sapiens (Human)",710
"P03556","POL_CAMVD","Enzymatic polyprotein [Includes: Aspartic protease (EC 3.4.23.-); Endonuclease; Reverse transcriptase (EC 2.7.7.49)]","ORF V","Cauliflower mosaic virus (strain D/H) (CaMV)",674
"P49135","ERCC3_MOUSE","General transcription and DNA repair factor IIH helicase subunit XPB (TFIIH subunit XPB) (EC 3.6.4.12) (Basic transcription factor 2 89 kDa subunit) (BTF2 p89) (DNA excision repair protein ERCC-3) (DNA repair protein complementing XP-B cells) (TFIIH 89 kDa subunit) (Xeroderma pigmentosum group B-complementing protein)","Ercc3 Xpb Xpbc","Mus musculus (Mouse)",783
"Q66HE5","NUAK2_RAT","NUAK family SNF1-like kinase 2 (EC 2.7.11.1) (SNF1/AMP kinase-related kinase) (SNARK)","Nuak2","Rattus norvegicus (Rat)",630
"Q640V3","NOL12_XENTR","Nucleolar protein 12","nol12 TNeu122o09.1","Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)",216
"P61917","NPC2_PANTR","NPC intracellular cholesterol transporter 2 (EPI-1) (Epididymal secretory protein E1) (Niemann Pick type C2 protein homolog)","NPC2","Pan troglodytes (Chimpanzee)",151
"Q9NS56","TOPRS_HUMAN","E3 ubiquitin-protein ligase Topors (EC 2.3.2.27) (RING-type E3 ubiquitin transferase Topors) (SUMO1-protein E3 ligase Topors) (Topoisomerase I-binding RING finger protein) (Topoisomerase I-binding arginine/serine-rich protein) (Tumor suppressor p53-binding protein 3) (p53-binding protein 3) (p53BP3)","TOPORS LUN TP53BPL","Homo sapiens (Human)",1045
"P22128","RAB8_DIPOM","Ras-related protein Rab-8 (ORA2)","","Diplobatis ommata (Ocellated electric ray) (Discopyge ommata)",210
"Q9R160","ADA24_MOUSE","Disintegrin and metalloproteinase domain-containing protein 24 (ADAM 24) (EC 3.4.24.-) (Testase-1)","Adam24","Mus musculus (Mouse)",761
"Q8N0U8","VKORL_HUMAN","Vitamin K epoxide reductase complex subunit 1-like protein 1 (VKORC1-like protein 1) (EC 1.17.4.4)","VKORC1L1","Homo sapiens (Human)",176
"Q99PP0","CCN4_RAT","CCN family member 4 (ELM-1) (WNT1-inducible-signaling pathway protein 1) (WISP-1)","Ccn4 Elm1 Wisp1","Rattus norvegicus (Rat)",367
"Q9LT35","NEK6_ARATH","Serine/threonine-protein kinase Nek6 (EC 2.7.11.1) (NimA-related protein kinase 6) (AtNek6)","NEK6 At3g20860 MOE17.17","Arabidopsis thaliana (Mouse-ear cress)",416
"P41041","CALM_PNECA","Calmodulin (CaM)","","Pneumocystis carinii",151
"P41236","IPP2_HUMAN","Protein phosphatase inhibitor 2 (IPP-2)","PPP1R2 IPP2","Homo sapiens (Human)",205
"Q804S5","MIB1_DANRE","E3 ubiquitin-protein ligase mib1 (EC 2.3.2.27) (Protein mind bomb) (RING-type E3 ubiquitin transferase mib1)","mib1 mib","Danio rerio (Zebrafish) (Brachydanio rerio)",1030
"Q5R821","OLA1_PONAB","Obg-like ATPase 1","OLA1","Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)",396
"Q9D0U6","MAF1_MOUSE","Repressor of RNA polymerase III transcription MAF1 homolog","Maf1","Mus musculus (Mouse)",258
"Q504Q3","PAN2_HUMAN","PAN2-PAN3 deadenylation complex catalytic subunit PAN2 (EC 3.1.13.4) (Inactive ubiquitin carboxyl-terminal hydrolase 52) (PAB1P-dependent poly(A)-specific ribonuclease) (Poly(A)-nuclease deadenylation complex subunit 2) (PAN deadenylation complex subunit 2)","PAN2 KIAA0710 USP52","Homo sapiens (Human)",1202
"Q0UZ59","DBP9_PHANO","ATP-dependent RNA helicase DBP9 (EC 3.6.4.13)","DBP9 SNOG_02955","Phaeosphaeria nodorum (strain SN15 / ATCC MYA-4574 / FGSC 10173) (Glume blotch fungus) (Parastagonospora nodorum)",597
"Q92889","XPF_HUMAN","DNA repair endonuclease XPF (EC 3.1.-.-) (DNA excision repair protein ERCC-4) (DNA repair protein complementing XP-F cells) (Xeroderma pigmentosum group F-complementing protein)","ERCC4 ERCC11 XPF","Homo sapiens (Human)",916
"Q5RF84","UB2G2_PONAB","Ubiquitin-conjugating enzyme E2 G2 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme G2) (Ubiquitin carrier protein G2) (Ubiquitin-protein ligase G2)","UBE2G2 UBC7","Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)",165
"B2U7R0","NUOB_RALPJ","NADH-quinone oxidoreductase subunit B (EC 7.1.1.-) (NADH dehydrogenase I subunit B) (NDH-1 subunit B)","nuoB Rpic_2213","Ralstonia pickettii (strain 12J)",160
"Q7KU86","URM1_DROME","Ubiquitin-related modifier 1 homolog","Urm1 CG33276","Drosophila melanogaster (Fruit fly)",101
"Q9H963","ZN702_HUMAN","Putative zinc finger protein 702","ZNF702P ZNF702","Homo sapiens (Human)",129
"P45888","ARP2_DROME","Actin-related protein 2 (Actin-like protein 14D) (Actin-like protein 2)","Arp2 Actr14D Arp14D CG9901","Drosophila melanogaster (Fruit fly)",399
"P02402","RLA1_ARTSA","60S acidic ribosomal protein P1 (eL12'/ eL12'-P)","","Artemia salina (Brine shrimp)",110
"Q99KJ8","DCTN2_MOUSE","Dynactin subunit 2 (50 kDa dynein-associated polypeptide) (Dynactin complex 50 kDa subunit) (DCTN-50) (Growth cone membrane protein 23-48K) (GMP23-48K) (p50 dynamitin)","Dctn2","Mus musculus (Mouse)",402
"P91766","ACH1_MANSE","Acetylcholine receptor subunit alpha-like (MARA1)","ARA1","Manduca sexta (Tobacco hawkmoth) (Tobacco hornworm)",516
"Q767L6","FLOT1_PIG","Flotillin-1","FLOT1","Sus scrofa (Pig)",427
"P41731","CD63_MOUSE","CD63 antigen (CD antigen CD63)","Cd63","Mus musculus (Mouse)",238
"Q86UK7","ZN598_HUMAN","E3 ubiquitin-protein ligase ZNF598 (EC 2.3.2.27) (Zinc finger protein 598)","ZNF598","Homo sapiens (Human)",904
"P18242","CATD_MOUSE","Cathepsin D (EC 3.4.23.5)","Ctsd","Mus musculus (Mouse)",410
"Q16186","ADRM1_HUMAN","Proteasomal ubiquitin receptor ADRM1 (110 kDa cell membrane glycoprotein) (Gp110) (Adhesion-regulating molecule 1) (ARM-1) (Proteasome regulatory particle non-ATPase 13) (hRpn13) (Rpn13 homolog)","ADRM1 GP110","Homo sapiens (Human)",407
"P09103","PDIA1_MOUSE","Protein disulfide-isomerase (PDI) (EC 5.3.4.1) (Cellular thyroid hormone-binding protein) (Endoplasmic reticulum resident protein 59) (ER protein 59) (ERp59) (Prolyl 4-hydroxylase subunit beta) (p55)","P4hb Pdia1","Mus musculus (Mouse)",509
"Q1ZXQ1","FAAA_DICDI","Fumarylacetoacetase (FAA) (EC 3.7.1.2) (Beta-diketonase) (Fumarylacetoacetate hydrolase)","fah DDB_G0271094","Dictyostelium discoideum (Slime mold)",427
"Q5FVM4","NONO_RAT","Non-POU domain-containing octamer-binding protein (NonO protein)","Nono","Rattus norvegicus (Rat)",476
"O00909","ARF1_DICDI","ADP-ribosylation factor 1","arfA arf1 DDB_G0289173","Dictyostelium discoideum (Slime mold)",182
"O95202","LETM1_HUMAN","Mitochondrial proton/calcium exchanger protein (Leucine zipper-EF-hand-containing transmembrane protein 1)","LETM1","Homo sapiens (Human)",739
"O88425","NDK6_MOUSE","Nucleoside diphosphate kinase 6 (NDK 6) (NDP kinase 6) (EC 2.7.4.6) (nm23-M6)","Nme6","Mus musculus (Mouse)",189
"Q9WTQ8","TIM23_MOUSE","Mitochondrial import inner membrane translocase subunit Tim23","Timm23 Tim23","Mus musculus (Mouse)",209
"Q9ET61","C1QR1_RAT","Complement component C1q receptor (C1q/MBL/SPA receptor) (C1qR(p)) (C1qRp) (Cell surface antigen AA4) (Complement component 1 q subcomponent receptor 1) (CD antigen CD93)","Cd93 C1qr1 C1qrp","Rattus norvegicus (Rat)",643
"Q2TBX0","ZPR1_BOVIN","Zinc finger protein ZPR1 (Zinc finger protein 259)","ZNF259 ZPR1","Bos taurus (Bovine)",459
"Q05186","RCN1_MOUSE","Reticulocalbin-1","Rcn1 Rca1 Rcn","Mus musculus (Mouse)",325
"P28739","KLPA_EMENI","Kinesin-like protein klpA","klpA AN6340","Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) (Aspergillus nidulans)",770
"P24724","HSP90_THEPA","Heat shock protein 90 (HSP90)","TP02_0244","Theileria parva (East coast fever infection agent)",721
"P06605","TBA3_DROME","Tubulin alpha-3 chain","alphaTub84D TubA84D CG2512","Drosophila melanogaster (Fruit fly)",450
"Q5IS50","DPP6_PANTR","Dipeptidyl aminopeptidase-like protein 6 (Dipeptidyl peptidase 6) (Dipeptidyl peptidase VI) (DPP VI)","DPP6","Pan troglodytes (Chimpanzee)",803
"Q8BNA6","FAT3_MOUSE","Protocadherin Fat 3 (FAT tumor suppressor homolog 3)","Fat3 Gm1132 Gm510","Mus musculus (Mouse)",4555
"O00571","DDX3X_HUMAN","ATP-dependent RNA helicase DDX3X (EC 3.6.4.13) (CAP-Rf) (DEAD box protein 3, X-chromosomal) (DEAD box, X isoform) (DBX) (Helicase-like protein 2) (HLP2)","DDX3X DBX DDX3","Homo sapiens (Human)",662
"Q5RK23","ABHD1_RAT","Protein ABHD1 (EC 3.1.1.-) (Alpha/beta hydrolase domain-containing protein 1) (Abhydrolase domain-containing protein 1)","Abhd1","Rattus norvegicus (Rat)",412
