"Accession_ID","Entry.name","Protein.names","Gene.names","Organism","Length"
"O14134","ELF1_SCHPO","mRNA export factor elf1","elf1 SPAC3C7.08c","Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)",1057
"P11118","CALM_EUGGR","Calmodulin (CaM)","","Euglena gracilis",149
"Q295U7","NOL6_DROPS","Nucleolar protein 6 (Maternal transcript 89Ba)","Mat89Ba GA11810","Drosophila pseudoobscura pseudoobscura (Fruit fly)",1212
"Q8LSN3","FYPP_PEA","Phytochrome-associated serine/threonine-protein phosphatase (EC 3.1.3.16) (PsFyPP)","FYPP","Pisum sativum (Garden pea)",303
"Q503L9","NXN_DANRE","Nucleoredoxin (EC 1.8.1.8)","nxn zgc:110449","Danio rerio (Zebrafish) (Brachydanio rerio)",418
"Q5RCP3","LSM8_PONAB","U6 snRNA-associated Sm-like protein LSm8","LSM8","Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)",96
"Q5XI50","MARH7_RAT","E3 ubiquitin-protein ligase MARCHF7 (EC 2.3.2.27) (Membrane-associated RING finger protein 7) (Membrane-associated RING-CH protein VII) (MARCH-VII) (RING-type E3 ubiquitin transferase MARCHF7)","Marchf7 March7","Rattus norvegicus (Rat)",692
"Q5ZMV2","SAS6_CHICK","Spindle assembly abnormal protein 6 homolog","SASS6 SAS6 RCJMB04_1b15","Gallus gallus (Chicken)",640
"O65001","TE1_MAIZE","Protein terminal ear1","TE1","Zea mays (Maize)",656
"Q9FX86","CAMK8_ARATH","CDPK-related kinase 8 (AtCRK8) (EC 2.7.11.1) (Calcium/calmodulin-dependent protein kinase CRK8)","CRK8 At1g49580 F14J22.18","Arabidopsis thaliana (Mouse-ear cress)",606
"Q9LHP2","SL30A_ARATH","Serine/arginine-rich SC35-like splicing factor SCL30A (At-SCL30A) (AtSCL30A) (SC35-like splicing factor 30A) (Serine/arginine-rich splicing factor 30A)","SCL30A At3g13570 K20M4.1","Arabidopsis thaliana (Mouse-ear cress)",262
"Q9I4V0","NQRED_PSEAE","NADH:quinone reductase (EC 1.6.5.9)","PA1024","Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)",328
"Q6UX73","CP089_HUMAN","UPF0764 protein C16orf89","C16orf89 UNQ904/PRO1925","Homo sapiens (Human)",402
"Q9SMH5","DYHC2_CHLRE","Cytoplasmic dynein 2 heavy chain 1 (Cytoplasmic dynein heavy chain 1b) (cDHC1b)","DHC1B DHC2 CHLREDRAFT_24009","Chlamydomonas reinhardtii (Chlamydomonas smithii)",4334
"Q5ZMS6","TDRD3_CHICK","Tudor domain-containing protein 3","TDRD3 RCJMB04_1e24","Gallus gallus (Chicken)",741
"A7MAZ3","UBA5_BOVIN","Ubiquitin-like modifier-activating enzyme 5 (Ubiquitin-activating enzyme 5) (UFM1-activating enzyme)","UBA5","Bos taurus (Bovine)",404
"Q75XW3","CAX_APHHA","Ca(2+)/H(+) antiporter (ApCAX)","","Aphanothece halophytica",373
"Q09747","DBP5_SCHPO","ATP-dependent RNA helicase dbp5 (EC 3.6.4.13)","dbp5 SPBC12C2.06","Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)",503
"Q6P8E9","NH2L1_XENTR","NHP2-like protein 1 (High mobility group-like nuclear protein 2 homolog 1) (U4/U6.U5 small nuclear ribonucleoprotein SNU13) (U4/U6.U5 tri-snRNP 15.5 kDa protein)","snu13 nhp2l1 TGas123b15.1 TNeu005n20.1","Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)",128
"Q500V2","FLY2_ARATH","Transmembrane E3 ubiquitin-protein ligase FLY2 (EC 2.3.2.27) (Protein FLYING SAUCER 2) (RING-type E3 ubiquitin transferase FLY2)","FLY2 At2g20650 F23N11.3","Arabidopsis thaliana (Mouse-ear cress)",559
"D2VRR7","GUF1_NAEGR","Translation factor GUF1 homolog, mitochondrial (EC 3.6.5.-) (Elongation factor 4 homolog) (EF-4) (GTPase GUF1 homolog) (Ribosomal back-translocase)","NAEGRDRAFT_71680","Naegleria gruberi (Amoeba)",720
"Q54KR9","NCBP2_DICDI","Nuclear cap-binding protein subunit 2 (20 kDa nuclear cap-binding protein) (NCBP 20 kDa subunit) (CBP20)","ncbp2 cbp20 DDB_G0287197","Dictyostelium discoideum (Slime mold)",234
"P25635","PWP2_YEAST","Periodic tryptophan protein 2 (U three protein 1) (U3 small nucleolar RNA-associated protein 1) (U3 snoRNA-associated protein 1)","PWP2 UTP1 YCR057C YCR55C/YCR57C/YCR58C","Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)",923
"Q0P483","S2542_DANRE","Mitochondrial coenzyme A transporter SLC25A42 (Solute carrier family 25 member 42)","slc25a42 zgc:153304","Danio rerio (Zebrafish) (Brachydanio rerio)",321
"Q3B8G0","CZIB_XENLA","CXXC motif containing zinc binding protein (UPF0587 protein C1orf123 homolog)","czib","Xenopus laevis (African clawed frog)",160
"Q7XJN0","RH17_ARATH","DEAD-box ATP-dependent RNA helicase 17 (EC 3.6.4.13)","RH17 At2g40700 T7D17.12","Arabidopsis thaliana (Mouse-ear cress)",609
"Q943Z6","SRP19_ARATH","Signal recognition particle 19 kDa protein (SRP19)","SRP19 At1g48160 F21D18.11","Arabidopsis thaliana (Mouse-ear cress)",145
"O42943","YBP8_SCHPO","Uncharacterized ABC transporter ATP-binding protein C16H5.08c","SPBC16H5.08c","Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)",618
"Q9C505","IF5A3_ARATH","Eukaryotic translation initiation factor 5A-3 (AtELF5A-3) (eIF-5A-3)","ELF5A-3 At1g69410 F10D13.8 F23O10.2","Arabidopsis thaliana (Mouse-ear cress)",158
"P57772","SELB_HUMAN","Selenocysteine-specific elongation factor (Elongation factor sec) (Eukaryotic elongation factor, selenocysteine-tRNA-specific)","EEFSEC SELB","Homo sapiens (Human)",596
"Q9S9T7","VP282_ARATH","Vacuolar protein sorting-associated protein 28 homolog 2","VPS28-2 At4g05000 T32N4.6","Arabidopsis thaliana (Mouse-ear cress)",210
"P55080","MFAP1_CHICK","Microfibrillar-associated protein 1 (Associated microfibril protein) (AMF) (Spliceosome B complex protein MFAP1)","MFAP1","Gallus gallus (Chicken)",442
"O96552","CHMP1_DICDI","Charged multivesicular body protein 1 (Developmental gene 1118 protein) (Vacuolar protein-sorting-associated protein 46)","chmp1 DG1118 vps46 DDB_G0267394","Dictyostelium discoideum (Slime mold)",192
"O42630","CARP_ASPFU","Vacuolar protease A (EC 3.4.23.25) (Aspartic endopeptidase pep2) (Aspartic protease pep2)","pep2 AFUA_3G11400","Neosartorya fumigata (strain ATCC MYA-4609 / Af293 / CBS 101355 / FGSC A1100) (Aspergillus fumigatus)",398
"O50017","PARP2_MAIZE","Poly [ADP-ribose] polymerase 2 (PARP-2) (EC 2.4.2.30) (NAD(+) ADP-ribosyltransferase 2) (ADPRT-2) (Poly[ADP-ribose] synthase 2) (Protein ADP-ribosyltransferase PARP2) (EC 2.4.2.-)","PARP2 PARP","Zea mays (Maize)",653
"Q8BRH0","TMTC3_MOUSE","Protein O-mannosyl-transferase TMTC3 (EC 2.4.1.109) (Transmembrane and TPR repeat-containing protein 3)","Tmtc3","Mus musculus (Mouse)",920
"Q11207","PARP2_ARATH","Poly [ADP-ribose] polymerase 2 (PARP-2) (EC 2.4.2.30) (NAD(+) ADP-ribosyltransferase 2) (ADPRT-2) (Poly[ADP-ribose] synthase 2) (Protein ADP-ribosyltransferase PARP2) (EC 2.4.2.-)","PARP2 APP At4g02390 T14P8.19","Arabidopsis thaliana (Mouse-ear cress)",637
"P49018","GPI8_YEAST","GPI-anchor transamidase (GPI transamidase) (EC 3.-.-.-)","GPI8 YDR331W D9798.2","Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)",411
"P05124","KCRB_CANLF","Creatine kinase B-type (EC 2.7.3.2) (B-CK) (Creatine kinase B chain) (Creatine phosphokinase M-type) (CPK-B)","CKB","Canis lupus familiaris (Dog) (Canis familiaris)",381
"Q6SP97","ENKUR_MOUSE","Enkurin","Enkur","Mus musculus (Mouse)",255
"Q62865","PDE3A_RAT","cGMP-inhibited 3',5'-cyclic phosphodiesterase A (EC 3.1.4.17) (Cyclic GMP-inhibited phosphodiesterase A) (CGI-PDE A)","Pde3a","Rattus norvegicus (Rat)",1141
"Q15008","PSMD6_HUMAN","26S proteasome non-ATPase regulatory subunit 6 (26S proteasome regulatory subunit RPN7) (26S proteasome regulatory subunit S10) (Breast cancer-associated protein SGA-113M) (Phosphonoformate immuno-associated protein 4) (Proteasome regulatory particle subunit p44S10) (p42A)","PSMD6 KIAA0107 PFAAP4","Homo sapiens (Human)",389
"B2V6V8","RL9_SULSY","50S ribosomal protein L9","rplI SYO3AOP1_1692","Sulfurihydrogenibium sp. (strain YO3AOP1)",149
"Q3SEK2","CATR6_PARTE","Caltractin ICL1f (Centrin-6)","Icl1f GSPATT00026240001","Paramecium tetraurelia",183
"Q9CQ48","NUDC2_MOUSE","NudC domain-containing protein 2","Nudcd2 D11Ertd603e","Mus musculus (Mouse)",157
"P25250","CYSP2_HORVU","Cysteine proteinase EP-B 2 (EC 3.4.22.-)","EPB2","Hordeum vulgare (Barley)",373
"Q66KB0","UBE2Z_XENTR","Ubiquitin-conjugating enzyme E2 Z (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme Z) (Ubiquitin carrier protein Z) (Ubiquitin-protein ligase Z)","ube2z","Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)",313
"Q12797","ASPH_HUMAN","Aspartyl/asparaginyl beta-hydroxylase (EC 1.14.11.16) (Aspartate beta-hydroxylase) (ASP beta-hydroxylase) (Peptide-aspartate beta-dioxygenase)","ASPH BAH","Homo sapiens (Human)",758
"P87131","CYSKL_SCHPO","Cysteine synthase 2 (CS 2) (EC 2.5.1.47) (Cysteine synthase-like protein) (CSl) (O-acetylserine (thiol)-lyase 2) (OAS-TL 2) (O-acetylserine sulfhydrylase 2)","cys12 cys1b SPAC3A12.17c","Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)",395
"Q8UVC1","INVS_DANRE","Inversin","invs","Danio rerio (Zebrafish) (Brachydanio rerio)",1021
"Q9R0M8","S35A2_MOUSE","UDP-galactose translocator (Solute carrier family 35 member A2) (UDP-galactose transporter) (UDP-Gal-Tr) (UGT) (mUGT1)","Slc35a2 Ugt1","Mus musculus (Mouse)",390
"P34329","PDIA4_CAEEL","Probable protein disulfide-isomerase A4 (EC 5.3.4.1) (ERp-72 homolog)","C14B9.2","Caenorhabditis elegans",618
"Q5PPV5","ZC21A_XENLA","Zinc finger C2HC domain-containing protein 1A","zc2hc1a fam164a","Xenopus laevis (African clawed frog)",323
"A6GZB7","OBG_FLAPJ","GTPase Obg (EC 3.6.5.-) (GTP-binding protein Obg)","obg FP1357","Flavobacterium psychrophilum (strain ATCC 49511 / DSM 21280 / CIP 103535 / JIP02/86)",335
"Q8CG65","SSPO_MOUSE","SCO-spondin","Sspo","Mus musculus (Mouse)",4998
"Q9VVA0","Y9705_DROME","Cold shock domain-containing protein CG9705","CG9705","Drosophila melanogaster (Fruit fly)",143
"Q45VK7","DYHC2_MOUSE","Cytoplasmic dynein 2 heavy chain 1 (Cytoplasmic dynein 2 heavy chain) (Dynein cytoplasmic heavy chain 2) (Dynein heavy chain 11) (mDHC11) (Dynein heavy chain isotype 1B)","Dync2h1 Dhc1b Dnchc2 Kiaa1997","Mus musculus (Mouse)",4306
"Q9HB90","RRAGC_HUMAN","Ras-related GTP-binding protein C (Rag C) (RagC) (EC 3.6.5.-) (GTPase-interacting protein 2) (TIB929)","RRAGC","Homo sapiens (Human)",399
"Q9SUS3","APBLB_ARATH","Beta-adaptin-like protein B (At-bB-Ad) (At-betaB-Ad) (AP complex subunit beta-B) (Adaptor protein complex AP subunit beta-B) (Beta-adaptin B) (Clathrin assembly protein complex beta large chain B)","BETAB-AD At4g11380 F8L21.170","Arabidopsis thaliana (Mouse-ear cress)",894
"P29610","CY12_SOLTU","Cytochrome c1-2, heme protein, mitochondrial (EC 7.1.1.8) (Clone PC18I) (Complex III subunit 4-2) (Complex III subunit IV-2) (Cytochrome b-c1 complex subunit 4-2) (Ubiquinol-cytochrome-c reductase complex cytochrome c1 subunit 2) (Cytochrome c-1-2) (Fragment)","CYCL","Solanum tuberosum (Potato)",260
"Q16ZN9","COG3_AEDAE","Conserved oligomeric Golgi complex subunit 3 (COG complex subunit 3) (Component of oligomeric Golgi complex 3)","Cog3 AAEL008135","Aedes aegypti (Yellowfever mosquito) (Culex aegypti)",899
"O23247","SYRM_ARATH","Arginine--tRNA ligase, chloroplastic/mitochondrial (EC 6.1.1.19) (Arginyl-tRNA synthetase) (ArgRS) (Protein EMBRYO DEFECTIVE 1027)","EMB1027 At4g26300 T25K17.110","Arabidopsis thaliana (Mouse-ear cress)",642
"Q2TCH3","ACLY_SHEEP","ATP-citrate synthase (EC 2.3.3.8) (ATP-citrate (pro-S-)-lyase) (Citrate cleavage enzyme)","ACLY","Ovis aries (Sheep)",1101
"P46872","KRP85_STRPU","Kinesin-II 85 kDa subunit (KRP-85/95 85 kDa subunit)","KRP85","Strongylocentrotus purpuratus (Purple sea urchin)",699
"Q0UWA6","DED1_PHANO","ATP-dependent RNA helicase DED1 (EC 3.6.4.13)","DED1 SNOG_03958","Phaeosphaeria nodorum (strain SN15 / ATCC MYA-4574 / FGSC 10173) (Glume blotch fungus) (Parastagonospora nodorum)",696
"Q9LTS6","RS16B_ARATH","30S ribosomal protein S16-2, chloroplastic/mitochondrial","RPS16-2 S16-1 At5g56940 MHM17.5","Arabidopsis thaliana (Mouse-ear cress)",135
"P67777","PP2AA_RABIT","Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform (PP2A-alpha) (EC 3.1.3.16)","PPP2CA","Oryctolagus cuniculus (Rabbit)",309
"Q66IS6","BBS5_XENLA","Bardet-Biedl syndrome 5 protein homolog","bbs5","Xenopus laevis (African clawed frog)",365
"P49935","CATH_MOUSE","Pro-cathepsin H (Cathepsin B3) (Cathepsin BA) [Cleaved into: Cathepsin H mini chain; Cathepsin H (EC 3.4.22.16); Cathepsin H heavy chain; Cathepsin H light chain]","Ctsh","Mus musculus (Mouse)",333
"A0A1D8PI78","TIM22_CANAL","Mitochondrial import inner membrane translocase subunit TIM22","TIM22 CAALFM_C208310WA orf19.1352","Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)",184
"P25870","CLH_DICDI","Clathrin heavy chain","chcA DDB_G0277221","Dictyostelium discoideum (Slime mold)",1694
"P59223","RS131_ARATH","40S ribosomal protein S13-1","RPS13A At3g60770 T4C21_180","Arabidopsis thaliana (Mouse-ear cress)",151
"Q5RDP9","AP3S2_PONAB","AP-3 complex subunit sigma-2 (AP-3 complex subunit sigma-3B) (Adaptor-related protein complex 3 subunit sigma-2) (Sigma-3B-adaptin) (Sigma3B-adaptin) (Sigma-adaptin 3b)","AP3S2","Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)",193
"A7RWP6","EIF3E_NEMVE","Eukaryotic translation initiation factor 3 subunit E (eIF3e) (Eukaryotic translation initiation factor 3 subunit 6)","v1g163572","Nematostella vectensis (Starlet sea anemone)",448
"Q7XSQ5","CDPKC_ORYSJ","Calcium-dependent protein kinase 12 (OsCDPK12) (OsCPK12) (EC 2.7.11.1)","CPK12 Os04g0560600 LOC_Os04g47300 OsJ_15768 OSJNBa0084K11.9","Oryza sativa subsp. japonica (Rice)",533
"A6TU88","BIOF_ALKMQ","8-amino-7-oxononanoate synthase (AONS) (EC 2.3.1.47) (7-keto-8-amino-pelargonic acid synthase) (7-KAP synthase) (KAPA synthase) (8-amino-7-ketopelargonate synthase) (Alpha-oxoamine synthase)","Amet_3634","Alkaliphilus metalliredigens (strain QYMF)",395
"P49210","RL9_ORYSJ","60S ribosomal protein L9","RPL9 YK426 Os09g0485900 LOC_Os09g31180 OsJ_29817","Oryza sativa subsp. japonica (Rice)",190
"Q9JZ29","RS6_NEIMB","30S ribosomal protein S6","rpsF NMB1323","Neisseria meningitidis serogroup B (strain MC58)",122
"Q8GZ43","YZR3_ARATH","RanBP2-type zinc finger protein At1g67325","At1g67325 F1N21_14","Arabidopsis thaliana (Mouse-ear cress)",288
"P0CT84","RL12B_SCHPO","60S ribosomal protein L12-B","rpl1202 SPCC31H12.04c","Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)",165
"O94477","MYO52_SCHPO","Myosin-52 (Myosin type V-2)","myo52 SPCC1919.10c","Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)",1516
"Q5B0V6","AKR1_EMENI","Palmitoyltransferase akr1 (EC 2.3.1.225) (Ankyrin repeat-containing protein akr1)","akr1 AN5824","Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) (Aspergillus nidulans)",737
"Q7ZXX2","KIF19_XENLA","Kinesin-like protein KIF19","kif19","Xenopus laevis (African clawed frog)",997
"Q08752","PPID_HUMAN","Peptidyl-prolyl cis-trans isomerase D (PPIase D) (EC 5.2.1.8) (40 kDa peptidyl-prolyl cis-trans isomerase) (Cyclophilin-40) (CYP-40) (Cyclophilin-related protein) (Rotamase D)","PPID CYP40 CYPD","Homo sapiens (Human)",370
"P21825","SEC62_YEAST","Translocation protein SEC62 (Sec62/63 complex 30 kDa subunit)","SEC62 YPL094C LPG14C","Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)",274
"Q9SK22","RS161_ARATH","40S ribosomal protein S16-1","RPS16A At2g09990 F7B19.13","Arabidopsis thaliana (Mouse-ear cress)",146
"Q1GPB3","RS8_SPHAL","30S ribosomal protein S8","rpsH Sala_2804","Sphingopyxis alaskensis (strain DSM 13593 / LMG 18877 / RB2256) (Sphingomonas alaskensis)",134
"A0CDD4","CFA20_PARTE","Cilia- and flagella-associated protein 20 (Bug22p)","CFAP20 Bug22 Bug22a Bug22b Bug22c Bug22d GSPATT00007012001 GSPATT00012810001 GSPATT00013199001 GSPATT00016658001","Paramecium tetraurelia",191
"Q0WLB5","CLAH2_ARATH","Clathrin heavy chain 2","CHC2 CHC1 At3g08530 F17O14.1 T8G24.1","Arabidopsis thaliana (Mouse-ear cress)",1703
"Q9P0U3","SENP1_HUMAN","Sentrin-specific protease 1 (EC 3.4.22.-) (Sentrin/SUMO-specific protease SENP1)","SENP1","Homo sapiens (Human)",644
"Q2KHY1","CPNE6_BOVIN","Copine-6 (Copine VI)","CPNE6","Bos taurus (Bovine)",557
"Q9W4T4","PDE4A_DROME","cAMP-specific 3',5'-cyclic phosphodiesterase, isoform I (EC 3.1.4.53) (Learning/memory process protein) (Protein dunce)","dnc CG32498","Drosophila melanogaster (Fruit fly)",1209
"E9Q5M6","CFA44_MOUSE","Cilia- and flagella-associated protein 44","Cfap44","Mus musculus (Mouse)",1843
"O94606","JMJ4_SCHPO","JmjC domain-containing protein 4 (Jumonji domain-containing protein 4) (Meiotically up-regulated gene 149 protein)","jmj4 mug149 SPCC622.19","Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)",473
"Q54FE6","MCFS_DICDI","Mitochondrial substrate carrier family protein S (Carnitine/acylcarnitine translocase) (CAC) (Solute carrier family 25 member 20 homolog B)","mcfS slc25a20B DDB_G0290913","Dictyostelium discoideum (Slime mold)",285
"Q8T0S6","HIPPO_DROME","Serine/threonine-protein kinase hippo (EC 2.7.11.1) (Drosophila homolog of MST1 and MST2) (STE20-like kinase MST) (dMST)","hpo CG11228","Drosophila melanogaster (Fruit fly)",669
"Q9P289","STK26_HUMAN","Serine/threonine-protein kinase 26 (EC 2.7.11.1) (MST3 and SOK1-related kinase) (Mammalian STE20-like protein kinase 4) (MST-4) (STE20-like kinase MST4) (Serine/threonine-protein kinase MASK)","STK26 MASK MST4","Homo sapiens (Human)",416
"O35509","RB11B_RAT","Ras-related protein Rab-11B","Rab11b","Rattus norvegicus (Rat)",218
"O35643","AP1B1_MOUSE","AP-1 complex subunit beta-1 (Adaptor protein complex AP-1 subunit beta-1) (Adaptor-related protein complex 1 subunit beta-1) (Beta-1-adaptin) (Beta-adaptin 1) (Clathrin assembly protein complex 1 beta large chain) (Golgi adaptor HA1/AP1 adaptin beta subunit)","Ap1b1 Adtb1","Mus musculus (Mouse)",943
"Q42510","GNOM_ARATH","ARF guanine-nucleotide exchange factor GNOM (Pattern formation protein EMB30) (Protein EMBRYO DEFECTIVE 30) (Protein MIZU-KUSSEI2) (Protein VASCULAR NETWORK 7)","GN EMB30 GBF3 MIZ2 VAN7 At1g13980 F16A14.20 F7A19.7","Arabidopsis thaliana (Mouse-ear cress)",1451
"Q9M4B5","PFD4_ARATH","Probable prefoldin subunit 4 (ABI3-interacting protein 3)","AIP3 At1g08780 F22O13.27","Arabidopsis thaliana (Mouse-ear cress)",129
"Q32LS6","ABHDD_DANRE","Protein ABHD13 (EC 3.-.-.-) (Alpha/beta hydrolase domain-containing protein 13) (Abhydrolase domain-containing protein 13)","abhd13 zgc:123286","Danio rerio (Zebrafish) (Brachydanio rerio)",337
"Q99848","EBP2_HUMAN","Probable rRNA-processing protein EBP2 (EBNA1-binding protein 2) (Nucleolar protein p40)","EBNA1BP2 EBP2","Homo sapiens (Human)",306
"P10363","PRI1_YEAST","DNA primase small subunit (EC 2.7.7.-) (DNA polymerase alpha:primase complex p48 subunit) (DNA polymerase-primase complex p48 subunit) (Pol alpha-primase complex p48 subunit) (DNA primase 48 kDa subunit)","PRI1 YIR008C YIB8C","Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)",409
"Q5SRE7","PHYD1_HUMAN","Phytanoyl-CoA dioxygenase domain-containing protein 1 (EC 1.-.-.-)","PHYHD1","Homo sapiens (Human)",291
"Q54VM3","TBC5A_DICDI","TBC1 domain family member 5 homolog A","tbc1d5A DDB_G0280253","Dictyostelium discoideum (Slime mold)",1173
"Q8GYD7","AT18C_ARATH","Autophagy-related protein 18c (AtATG18c)","ATG18C At2g40810 T20B5.1","Arabidopsis thaliana (Mouse-ear cress)",393
"Q8VDF3","DAPK2_MOUSE","Death-associated protein kinase 2 (DAP kinase 2) (EC 2.7.11.1) (DAP-kinase-related protein 1) (DRP-1)","Dapk2","Mus musculus (Mouse)",370
"Q5DM57","IF172_CHLRE","Intraflagellar transport protein 172","IFT172 FLA11 CHLREDRAFT_183240","Chlamydomonas reinhardtii (Chlamydomonas smithii)",1755
"Q4FZT9","PSMD2_RAT","26S proteasome non-ATPase regulatory subunit 2","Psmd2","Rattus norvegicus (Rat)",908
"Q1PCQ8","PSD1_TOXGG","Phosphatidylserine decarboxylase proenzyme 1, mitochondrial (EC 4.1.1.65) [Cleaved into: Phosphatidylserine decarboxylase 1 beta chain; Phosphatidylserine decarboxylase 1 alpha chain]","PSD1mt TGGT1_225550","Toxoplasma gondii (strain ATCC 50853 / GT1)",427
"Q07412","TPIS_PLAFA","Triosephosphate isomerase (TIM) (EC 5.3.1.1) (Triose-phosphate isomerase)","TPI","Plasmodium falciparum",248
"Q54JP5","OAT_DICDI","Probable ornithine aminotransferase (EC 2.6.1.13) (Ornithine--oxo-acid aminotransferase)","oatA DDB_G0287913","Dictyostelium discoideum (Slime mold)",416
"Q6P298","NUBP1_DANRE","Cytosolic Fe-S cluster assembly factor nubp1 (Nucleotide-binding protein 1) (NBP 1)","nubp1 zgc:92138","Danio rerio (Zebrafish) (Brachydanio rerio)",321
"O60840","CAC1F_HUMAN","Voltage-dependent L-type calcium channel subunit alpha-1F (Voltage-gated calcium channel subunit alpha Cav1.4)","CACNA1F CACNAF1","Homo sapiens (Human)",1977
"Q7KUT2","LONM_DROME","Lon protease homolog, mitochondrial (EC 3.4.21.53)","Lon CG8798","Drosophila melanogaster (Fruit fly)",1024
"Q9USK1","YJ2B_SCHPO","Uncharacterized bolA-like protein C4B3.11c","SPCC4B3.11c","Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)",116
"Q8WMS6","PP1A_CANLF","Serine/threonine-protein phosphatase PP1-alpha catalytic subunit (PP-1A) (EC 3.1.3.16)","PPP1CA","Canis lupus familiaris (Dog) (Canis familiaris)",330
"O94703","RPA12_SCHPO","DNA-directed RNA polymerase I subunit RPA12 (DNA-directed RNA polymerase I 13.1 kDa polypeptide)","rpa12 SPCC1259.03","Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)",119
"F1QXD3","ZH15B_DANRE","Palmitoyltransferase ZDHHC15B (EC 2.3.1.225) (Acyltransferase ZDHHC15B) (EC 2.3.1.-) (Zinc finger DHHC domain-containing protein 15B)","zdhhc15b","Danio rerio (Zebrafish) (Brachydanio rerio)",332
"F4JAA5","SKI2_ARATH","DExH-box ATP-dependent RNA helicase DExH11 (EC 3.6.4.13) (AtHELPS) (Protein SKI2 homolog) (AtSKI2)","SKI2 HELPS At3g46960 F13I12.10 T6H20.10","Arabidopsis thaliana (Mouse-ear cress)",1347
"Q86A79","CPSF3_DICDI","Cleavage and polyadenylation specificity factor subunit 3 (Cleavage and polyadenylation specificity factor 3) (EC 3.1.27.-)","cpsf3 DDB_G0274799","Dictyostelium discoideum (Slime mold)",774
"P28634","TRMO_ECOLI","tRNA (adenine(37)-N6)-methyltransferase (EC 2.1.1.-) (tRNA (m6t6A37) methyltransferase) (tRNA methyltransferase O)","trmO tsaA yaeB b0195 JW0191","Escherichia coli (strain K12)",235
"Q4VAE3","TMM65_MOUSE","Transmembrane protein 65","Tmem65","Mus musculus (Mouse)",234
"Q9SMR2","TBCC_ARATH","Tubulin-folding cofactor C (AtTFCC) (TFC C) (Protein PORCINO)","TFCC POR At4g39920 T5J17.90","Arabidopsis thaliana (Mouse-ear cress)",345
"M0R8U1","DYH5_RAT","Dynein heavy chain 5, axonemal (Axonemal beta dynein heavy chain 5) (Ciliary dynein heavy chain 5) (Fragment)","Dnah5","Rattus norvegicus (Rat)",3470
"Q9HC98","NEK6_HUMAN","Serine/threonine-protein kinase Nek6 (EC 2.7.11.1) (Never in mitosis A-related kinase 6) (NimA-related protein kinase 6) (Protein kinase SID6-1512)","NEK6","Homo sapiens (Human)",313
"Q09442","SF3B4_CAEEL","Splicing factor 3B subunit 4 (Spliceosome-associated protein 49)","sap-49 C08B11.5","Caenorhabditis elegans",388
"P35084","RPB1_DICDI","DNA-directed RNA polymerase II subunit rpb1 (RNA polymerase II subunit B1) (EC 2.7.7.6) (DNA-directed RNA polymerase III subunit A)","polr2a rpb1 rpoA DDB_G0279193","Dictyostelium discoideum (Slime mold)",1727
"Q99MB4","CBWD1_RAT","COBW domain-containing protein 1 (Cobalamin synthase W domain-containing protein 1)","Cbwd1","Rattus norvegicus (Rat)",394
"Q9FIX3","PP407_ARATH","Pentatricopeptide repeat-containing protein At5g39710 (Protein EMBRYO DEFECTIVE 2745)","EMB2745 At5g39710 MIJ24.190","Arabidopsis thaliana (Mouse-ear cress)",747
"Q0VCA8","3HAO_BOVIN","3-hydroxyanthranilate 3,4-dioxygenase (EC 1.13.11.6) (3-hydroxyanthranilate oxygenase) (3-HAO) (3-hydroxyanthranilic acid dioxygenase) (HAD)","HAAO","Bos taurus (Bovine)",286
"P54703","DYIN_DICDI","Cytoplasmic dynein 1 intermediate chain (DH IC) (Dynein intermediate chain, cytosolic)","dicA DDB_G0280849","Dictyostelium discoideum (Slime mold)",654
"Q06609","RAD51_HUMAN","DNA repair protein RAD51 homolog 1 (HsRAD51) (hRAD51) (RAD51 homolog A)","RAD51 RAD51A RECA","Homo sapiens (Human)",339
